AP_ID,AP_NAME,LONGITUDE,LATITUDE,ALTITUDE,Floor
69,SFO-T2-T204P-27D1,-122.383745,37.61624,2.74,Departure
70,SFO-T2-T212P-85D1,-122.383854,37.616976,2.74,Departure
77,SFO-T2-T205P-47D1,-122.384158,37.617491,3.66,Departure
73,SFO-T2-T212P-89D1,-122.383829,37.617036,4.57,Departure
74,SFO-T2-T212P-91D1,-122.383666,37.616957,4.267,Departure
80,SFO-T2-T205P-46D1,-122.384356,37.617572,3.05,Departure
83,SFO-T2-T212P-90D1,-122.383764,37.616813,4.57,Departure
93,SFO-T2-T216P-90D1,-122.381323,37.617085,3.05,Departure
92,SFO-T2-T216P-89D1,-122.381025,37.617049,3.35,Departure
95,SFO-T2-T217P-72D1,-122.381772,37.617486,3.05,Departure
210,SFO-T2-T221P-120D1,-122.38329,37.617362,3.35,Departure
91,SFO-T2-T216P-88D1,-122.381288,37.61735,3.35,Departure
90,SFO-T2-T216P-91D1,-122.381649,37.617308,3.35,Departure
102,SFO-T2-T217P-73D1,-122.381608,37.618095,3.35,Departure
103,SFO-T2-T215P-73D1,-122.382348,37.617356,2.74,Departure
100,SFO-T2-T215P-80D1,-122.381797,37.61735,2.74,Departure
101,SFO-T2-T215P-74D1,-122.382455,37.617399,2.74,Departure
98,SFO-T2-T215P-77D1,-122.382476,37.617191,2.74,Departure
99,SFO-T2-T215P-71D1,-122.38208,37.61738,3.35,Departure
96,SFO-T2-T215P-70D1,-122.382278,37.6175,3.05,Departure
97,SFO-T2-T217P-76D1,-122.381424,37.617679,3.66,Departure
110,SFO-T2-T221P-122D1,-122.383151,37.617121,3.35,Departure
111,SFO-T2-T215P-76D1,-122.383077,37.617288,3.66,Departure
108,SFO-T2-T221P-119D1,-122.383455,37.617579,3.96,Departure
109,SFO-T2-T215P-72D1,-122.38225,37.617246,3.05,Departure
106,SFO-T2-T217P-71D1,-122.381727,37.617637,3.66,Departure
107,SFO-T2-T217P-74D1,-122.381325,37.618052,3.05,Departure
104,SFO-T2-T217P-75D1,-122.381147,37.617591,3.35,Departure
105,SFO-T2-T220P-109D1,-122.383106,37.616513,2.74,Departure
119,SFO-T2-T220P-112D1,-122.383475,37.616387,2.44,Departure
118,SFO-T2-T215P-75D1,-122.382833,37.617287,2.44,Departure
117,SFO-T2-T220P-111D1,-122.383517,37.616629,2.44,Departure
79,SFO-T2-T212P-52D1,-122.384143,37.617181,2.74,Arrival
72,SFO-T2-T212P-58D1,-122.383909,37.616744,2.74,Arrival
75,SFO-T2-T205P-30D1,-122.384355,37.61755,2.74,Arrival
85,SFO-T2-T214P-27D1,-122.383396,37.61658,2.44,Arrival
84,SFO-T2-T212P-53D1,-122.384184,37.617057,2.74,Arrival
87,SFO-T2-T212P-60D1,-122.384027,37.616647,2.74,Arrival
86,SFO-T2-T214P-26D1,-122.383837,37.616515,2.74,Arrival
81,SFO-T2-T212P-55D1,-122.38374,37.617153,2.74,Arrival
82,SFO-T2-T212P-59D1,-122.3836,37.616708,2.74,Arrival
94,SFO-T2-T213P-29D1,-122.383839,37.61734,2.74,Arrival
89,SFO-T2-T213P-28D1,-122.383619,37.617261,2.74,Arrival
88,SFO-T2-T213P-27D1,-122.383731,37.617407,2.44,Arrival
488,T215P-36D1,-122.381842,37.617556,2.74,Arrival
489,T215P-37D1,-122.382048,37.617402,2.44,Arrival
617,T214P-37D1,-122.383488,37.616788,2.74,Arrival
630,T217P-24D1,-122.381143,37.617638,2.44,Arrival
622,T214P-30D1,-122.383243,37.6166,2.44,Arrival
628,T216P-25D1,-122.380857,37.617006,2.13,Arrival
637,T217P-21D1,-122.38127,37.618104,2.44,Arrival
616,T205P-37D1,-122.383919,37.617432,2.74,Arrival
594,T213P-33D1,-122.383092,37.617097,2.74,Arrival
595,T216P-23D1,-122.380836,37.617205,2.13,Arrival
596,T216P-21D1,-122.381023,37.617524,2.132,Arrival
597,T214P-32D1,-122.383586,37.616506,2.44,Arrival
598,T216P-33D1,-122.380982,37.616818,2.44,Arrival
599,T216P-30D1,-122.381467,37.617183,2.74,Arrival
600,T215P-34D1,-122.383038,37.617309,2.74,Arrival
